Cable-Name		d1	d2	d3	th_cond_4k	att_4k	att_300k
SC-033/50-SS-SS		0.080	0.26	0.33	1.10E-06	16.8	26.8
SC-033/50-CN-CN		0.080	0.26	0.33	1.40E-06	14.6	19.3
SC-033/50-NbTi-CN	0.080	0.26	0.33	1.00E-06	3.5	25.3
SC-033/50-SSS-SS	0.080	0.26	0.33	2.62E-05	4.2	9.1
SC-033/50-PBC-PBC	0.080	0.26	0.33	4.24E-06	8.3	11.5
SC-040/50-CN-CN		0.080	0.26	0.40	2.80E-06	14.6	19.3
SC-086/50-CN-CN		0.203	0.66	0.86	9.80E-06	5.7	7.7
SC-086/50-B-B		0.203	0.66	0.86	5.10E-05	2.5	3.3
SC-086/50-SB-B		0.203	0.66	0.86	1.72E-04	0.7	2.0
SC-086/50-NbTi-NbTi	0.203	0.66	0.90	4.63E-06	0.5	10.7
SC-086/50-SCN-CN	0.203	0.66	0.86	7.07E-05	1.5	3.0
SC-086/50-SS-SS		0.203	0.66	0.86	7.40E-06	6.6	10.3
SC-086/50-SSS-SS	0.203	0.66	0.86	6.84E-05	1.7	3.7
SC-119/50-SB-B		0.287	0.94	1.19	1.77E-04	0.5	1.4
SC-119/50-NbTi-NbTi	0.287	0.94	1.19	7.54E-06	0.4	7.5
SC-119/50-SS-SS		0.287	0.94	1.19	1.32E-05	4.7	7.4
SC-119/50-SSS-SS	0.287	0.94	1.19	9.95E-05	1.2	2.6
SC-119/50-CN-CN		0.287	0.94	1.19	1.74E-05	4.1	5.4
SC-119/50-SCN-CN	0.287	0.94	1.19	1.04E-04	1.0	2.1
SC-119/50-B-B		0.287	0.94	1.19	9.10E-05	1.8	2.3
SC-119/75-CN-CN		0.157	0.94	1.19	1.58E-05	4.4	5.8
SC-119/25-CN-CN		0.51	0.94	1.19	2.23E-05	5.2	6.9
SC-160/50-CN-CN		0.320	1.05	1.60	4.42E-05	3.6	4.8
SC-160/50-SCN-CN	0.32	1.05	1.60	1.41E-04	0.9	1.9
SC-160/50-NbTi-NbTi	0.32	1.05	1.60	1.66E-05	0.4	6.7
SC-219/50-NbTi-NbTi	0.51	1.67	2.19	2.64E-05	0.3	4.3
SC-219/50-CN-CN		0.51	1.67	2.19	6.30E-05	2.3	3.4
SC-219/50-SCN-CN	0.51	1.67	2.19	2.18E-04	0.6	1.2
SC-219/50-SS-SS		0.51	1.67	2.19	4.30E-05	2.6	4.2
SC-219/50-SB-B		0.51	1.67	2.19	4.88E-04	0.3	0.8
SC-219/50-B-B		0.51	1.67	2.19	2.96E-04	1.0	1.3
SC-219/50-SSS-SS	0.51	1.67	2.19	2.02E-04	0.7	1.5
SC-358/50-SCN-CN	0.910	2.98	3.58	4.11E-04	0.3	0.7
SC-358/50-SS-SS		0.910	2.98	3.58	1.02E-04	1.5	2.3
SC-358/50-SSS-SS	0.910	2.98	3.58	3.78E-04	0.4	0.8
